LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT,TYPE,X,Y
33.716850000000001,-117.711860000000001,318.529999999999973,0.390000000000000,0.360000000000000,1/20/2012 0:00:00,0943,N,VIIRS,n,2,280.750000000000000,1.050000000000000,N,2.000000000000000,-117.711847939999998,33.716845100000000
33.715060000000001,-117.712649999999996,302.069999999999993,0.520000000000000,0.500000000000000,1/22/2012 0:00:00,0905,N,VIIRS,n,2,277.019999999999982,0.910000000000000,N,0.000000000000000,-117.712637939999993,33.715055100000001
33.716960000000000,-117.711169999999996,307.740000000000009,0.470000000000000,0.480000000000000,1/24/2012 0:00:00,1008,N,VIIRS,n,2,278.699999999999989,0.920000000000000,N,2.000000000000000,-117.711157940000007,33.716955100000000
34.291849999999997,-118.800470000000004,297.670000000000016,0.400000000000000,0.370000000000000,1/25/2012 0:00:00,0949,N,VIIRS,n,2,277.819999999999993,0.510000000000000,N,0.000000000000000,-118.800457710000003,34.291845100000003
33.717359999999999,-117.712270000000004,304.399999999999977,0.430000000000000,0.380000000000000,1/25/2012 0:00:00,0949,N,VIIRS,n,2,278.779999999999973,1.190000000000000,N,2.000000000000000,-117.712257940000001,33.717355099999999
34.290149999999997,-118.801800000000000,299.290000000000020,0.440000000000000,0.380000000000000,1/26/2012 0:00:00,0930,N,VIIRS,n,2,284.310000000000002,0.570000000000000,N,0.000000000000000,-118.801787709999999,34.290145099999997
34.291210000000000,-118.803340000000006,301.939999999999998,0.440000000000000,0.380000000000000,1/26/2012 0:00:00,0930,N,VIIRS,n,2,283.589999999999975,0.550000000000000,N,2.000000000000000,-118.803327710000005,34.291205099999999
33.716790000000003,-117.712310000000002,317.579999999999984,0.400000000000000,0.370000000000000,1/26/2012 0:00:00,0931,N,VIIRS,n,2,284.769999999999982,1.200000000000000,N,2.000000000000000,-117.712297939999999,33.716785100000003
33.717109999999998,-117.712630000000004,307.269999999999982,0.420000000000000,0.460000000000000,1/27/2012 0:00:00,0912,N,VIIRS,n,2,284.269999999999982,1.250000000000000,N,2.000000000000000,-117.712617940000001,33.717105099999998
33.715319999999998,-117.713120000000004,299.329999999999984,0.390000000000000,0.600000000000000,1/28/2012 0:00:00,0853,N,VIIRS,n,2,287.050000000000011,0.580000000000000,N,0.000000000000000,-117.713107940000000,33.715315099999998
33.717160000000000,-117.709609999999998,298.649999999999977,0.520000000000000,0.670000000000000,1/28/2012 0:00:00,1033,N,VIIRS,n,2,285.439999999999998,0.540000000000000,N,2.000000000000000,-117.709597939999995,33.717155099999999
33.717739999999999,-117.710329999999999,295.839999999999975,0.520000000000000,0.670000000000000,1/28/2012 0:00:00,1033,N,VIIRS,n,2,285.750000000000000,0.560000000000000,N,2.000000000000000,-117.710317939999996,33.717735099999999
34.291539999999998,-118.799099999999996,296.350000000000023,0.490000000000000,0.480000000000000,1/29/2012 0:00:00,1014,N,VIIRS,n,2,285.470000000000027,0.680000000000000,N,0.000000000000000,-118.799087709999995,34.291535099999997
33.715110000000003,-117.711820000000003,301.740000000000009,0.570000000000000,0.520000000000000,1/29/2012 0:00:00,1014,N,VIIRS,n,2,287.170000000000016,0.820000000000000,N,0.000000000000000,-117.711807940000000,33.715105100000002
33.507599999999996,-111.777670000000001,367.000000000000000,0.770000000000000,0.770000000000000,1/29/2012 0:00:00,2133,N,VIIRS,h,2,295.829999999999984,36.100000000000001,D,0.000000000000000,-111.777659049999997,33.507594810000001
33.508139999999997,-111.779460000000000,367.000000000000000,0.770000000000000,0.770000000000000,1/29/2012 0:00:00,2133,N,VIIRS,h,2,295.899999999999977,44.009999999999998,D,0.000000000000000,-111.779449049999997,33.508134810000001
30.340270000000000,-97.619330000000005,295.870000000000005,0.380000000000000,0.360000000000000,1/30/2012 0:00:00,0815,N,VIIRS,n,2,278.250000000000000,0.570000000000000,N,0.000000000000000,-97.619322420000003,30.340264720000000
33.716189999999997,-117.708460000000002,315.129999999999995,0.490000000000000,0.400000000000000,1/30/2012 0:00:00,0956,N,VIIRS,n,2,280.500000000000000,0.990000000000000,N,2.000000000000000,-117.708447939999999,33.716185099999997
33.715240000000001,-117.710030000000003,312.839999999999975,0.490000000000000,0.400000000000000,1/30/2012 0:00:00,0956,N,VIIRS,n,2,280.250000000000000,1.700000000000000,N,0.000000000000000,-117.710017940000000,33.715235100000001
33.714860000000002,-117.711240000000004,304.829999999999984,0.380000000000000,0.360000000000000,1/31/2012 0:00:00,0937,N,VIIRS,n,2,279.600000000000023,0.910000000000000,N,0.000000000000000,-117.711227940000001,33.714855100000001
33.715170000000001,-117.713620000000006,303.990000000000009,0.530000000000000,0.420000000000000,2/1/2012 0:00:00,0918,N,VIIRS,n,2,278.240000000000009,1.450000000000000,N,0.000000000000000,-117.713607940000003,33.715165100000000
33.715080000000000,-117.710809999999995,311.000000000000000,0.320000000000000,0.550000000000000,2/2/2012 0:00:00,0859,N,VIIRS,n,2,279.339999999999975,0.830000000000000,N,0.000000000000000,-117.710797940000006,33.715075100000000
33.714970000000001,-117.709909999999994,309.389999999999986,0.350000000000000,0.570000000000000,2/3/2012 0:00:00,1021,N,VIIRS,n,2,283.230000000000018,0.440000000000000,N,0.000000000000000,-117.709897940000005,33.714965100000001
