LATITUDE,LONGITUDE,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,DAYNIGHT,X,Y
30.340686000000002,-97.619293999999996,4611.000000000000000,3729.000000000000000,6/21/2022 0:00:00,1703,L8,OLI,L,D,-97.619286419999995,30.340680720000002
34.292020000000001,-118.801953999999995,2459.000000000000000,5077.000000000000000,7/1/2022 0:00:00,1828,L9,OLI-2,H,D,-118.801941709999994,34.292015100000000
34.291750000000000,-118.801947999999996,2459.000000000000000,5078.000000000000000,7/1/2022 0:00:00,1828,L9,OLI-2,H,D,-118.801935709999995,34.291745100000000
34.291755000000002,-118.801621999999995,2460.000000000000000,5078.000000000000000,7/1/2022 0:00:00,1828,L9,OLI-2,H,D,-118.801609709999994,34.291750100000002
34.291483999999997,-118.801615999999996,2460.000000000000000,5079.000000000000000,7/1/2022 0:00:00,1828,L9,OLI-2,H,D,-118.801603709999995,34.291479099999997
33.716098000000002,-117.710756000000003,5792.000000000000000,7247.000000000000000,7/1/2022 0:00:00,1828,L9,OLI-2,H,D,-117.710743940000000,33.716093100000002
33.715828000000002,-117.710753999999994,5792.000000000000000,7248.000000000000000,7/1/2022 0:00:00,1828,L9,OLI-2,M,D,-117.710741940000005,33.715823100000001
33.716098000000002,-117.710756000000003,7102.000000000000000,1977.000000000000000,7/1/2022 0:00:00,1828,L9,OLI-2,H,D,-117.710743940000000,33.716093100000002
33.715828000000002,-117.710753999999994,7102.000000000000000,1978.000000000000000,7/1/2022 0:00:00,1828,L9,OLI-2,M,D,-117.710741940000005,33.715823100000001
34.292020000000001,-118.801953999999995,2349.000000000000000,5087.000000000000000,7/9/2022 0:00:00,1828,L8,OLI,H,D,-118.801941709999994,34.292015100000000
34.291750000000000,-118.801947999999996,2349.000000000000000,5088.000000000000000,7/9/2022 0:00:00,1828,L8,OLI,H,D,-118.801935709999995,34.291745100000000
34.291755000000002,-118.801621999999995,2350.000000000000000,5088.000000000000000,7/9/2022 0:00:00,1828,L8,OLI,H,D,-118.801609709999994,34.291750100000002
33.715826000000000,-117.711078000000001,5681.000000000000000,7258.000000000000000,7/9/2022 0:00:00,1828,L8,OLI,H,D,-117.711065939999997,33.715821099999999
33.716098000000002,-117.710756000000003,5682.000000000000000,7257.000000000000000,7/9/2022 0:00:00,1828,L8,OLI,M,D,-117.710743940000000,33.716093100000002
33.715828000000002,-117.710753999999994,5682.000000000000000,7258.000000000000000,7/9/2022 0:00:00,1828,L8,OLI,H,D,-117.710741940000005,33.715823100000001
33.717269000000002,-117.695223999999996,5730.000000000000000,7253.000000000000000,7/9/2022 0:00:00,1828,L8,OLI,L,D,-117.695211939999993,33.717264100000001
33.715826000000000,-117.711078000000001,6991.000000000000000,1978.000000000000000,7/9/2022 0:00:00,1828,L8,OLI,H,D,-117.711065939999997,33.715821099999999
33.716098000000002,-117.710756000000003,6992.000000000000000,1977.000000000000000,7/9/2022 0:00:00,1828,L8,OLI,M,D,-117.710743940000000,33.716093100000002
33.715828000000002,-117.710753999999994,6992.000000000000000,1978.000000000000000,7/9/2022 0:00:00,1828,L8,OLI,H,D,-117.710741940000005,33.715823100000001
33.717269000000002,-117.695223999999996,7040.000000000000000,1973.000000000000000,7/9/2022 0:00:00,1828,L8,OLI,L,D,-117.695211939999993,33.717264100000001
33.716098000000002,-117.710756000000003,2162.000000000000000,1897.000000000000000,7/10/2022 0:00:00,1822,L9,OLI-2,H,D,-117.710743940000000,33.716093100000002
33.715828000000002,-117.710753999999994,2162.000000000000000,1898.000000000000000,7/10/2022 0:00:00,1822,L9,OLI-2,H,D,-117.710741940000005,33.715823100000001
33.716096999999998,-117.711079999999995,2201.000000000000000,1897.000000000000000,7/26/2022 0:00:00,1822,L9,OLI-2,H,D,-117.711067940000007,33.716092099999997
33.716098000000002,-117.710756000000003,2202.000000000000000,1897.000000000000000,7/26/2022 0:00:00,1822,L9,OLI-2,H,D,-117.710743940000000,33.716093100000002
33.715828000000002,-117.710753999999994,2202.000000000000000,1898.000000000000000,7/26/2022 0:00:00,1822,L9,OLI-2,L,D,-117.710741940000005,33.715823100000001
33.715829999999997,-117.710430000000002,7073.000000000000000,1978.000000000000000,8/2/2022 0:00:00,1828,L9,OLI-2,L,D,-117.710417939999999,33.715825100000004
33.715828000000002,-117.710753999999994,7072.000000000000000,1978.000000000000000,8/2/2022 0:00:00,1828,L9,OLI-2,H,D,-117.710741940000005,33.715823100000001
33.715826000000000,-117.711078000000001,7071.000000000000000,1978.000000000000000,8/2/2022 0:00:00,1828,L9,OLI-2,H,D,-117.711065939999997,33.715821099999999
33.717540000000000,-117.695227000000003,7120.000000000000000,1972.000000000000000,8/2/2022 0:00:00,1828,L9,OLI-2,H,D,-117.695214940000000,33.717535099999999
33.716098000000002,-117.710756000000003,2212.000000000000000,1897.000000000000000,8/3/2022 0:00:00,1823,L8,OLI,H,D,-117.710743940000000,33.716093100000002
33.715828000000002,-117.710753999999994,2212.000000000000000,1898.000000000000000,8/3/2022 0:00:00,1823,L8,OLI,H,D,-117.710741940000005,33.715823100000001
33.717269000000002,-117.695223999999996,2260.000000000000000,1893.000000000000000,8/3/2022 0:00:00,1823,L8,OLI,L,D,-117.695211939999993,33.717264100000001
30.340686000000002,-97.619293999999996,4611.000000000000000,3729.000000000000000,8/8/2022 0:00:00,1703,L8,OLI,H,D,-97.619286419999995,30.340680720000002
