"","LATITUDE","LONGITUDE","BRIGHTNESS","SCAN","TRACK","ACQ_DATE","ACQ_TIME","SATELLITE","INSTRUMENT","CONFIDENCE","VERSION","BRIGHT_T31","FRP","DAYNIGHT","TYPE","X","Y","Date"
"36",33.715828,-117.710754,NA,5752,7258,"8/10/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-08-10
"37",33.715828,-117.710754,NA,7062,1978,"8/10/2022 0:00:00",1829,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-08-10
"38",33.716098,-117.710756,NA,7062,1977,"8/10/2022 0:00:00",1829,"L8","OLI","M",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-08-10
"39",33.716097,-117.71108,NA,7061,1977,"8/10/2022 0:00:00",1829,"L8","OLI","L",NA,NA,NA,"D",NA,-117.71106794,33.7160921,2022-08-10
"40",33.716098,-117.710756,NA,2252,1897,"8/11/2022 0:00:00",1822,"L9","OLI-2","M",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-08-11
"41",33.715828,-117.710754,NA,2252,1898,"8/11/2022 0:00:00",1822,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-08-11
"42",33.71754,-117.695227,NA,2300,1892,"8/11/2022 0:00:00",1822,"L9","OLI-2","L",NA,NA,NA,"D",NA,-117.69521494,33.7175351,2022-08-11
"43",34.291755,-118.801622,NA,2440,5078,"8/18/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-118.80160971,34.2917501,2022-08-18
"44",34.29175,-118.801948,NA,2439,5078,"8/18/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-118.80193571,34.2917451,2022-08-18
"45",33.717269,-117.695224,NA,7130,1973,"8/18/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.69521194,33.7172641,2022-08-18
"46",33.715828,-117.710754,NA,7082,1978,"8/18/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-08-18
"47",33.716098,-117.710756,NA,7082,1977,"8/18/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-08-18
"48",33.717269,-117.695224,NA,5820,7243,"8/18/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.69521194,33.7172641,2022-08-18
"49",33.715828,-117.710754,NA,5772,7248,"8/18/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-08-18
"50",33.716098,-117.710756,NA,5772,7247,"8/18/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-08-18
"51",34.291755,-118.801622,NA,2400,5088,"8/26/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-118.80160971,34.2917501,2022-08-26
"52",34.29175,-118.801948,NA,2399,5088,"8/26/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-118.80193571,34.2917451,2022-08-26
